npm warn config ignoring workspace config at /app/apps/next-web/.npmrc
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:452:67: Strings not allowed in JSX files: "Curating your strategy..." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:483:90: Strings not allowed in JSX files: "Targeting" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:503:149: Strings not allowed in JSX files: "WEEK" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:559:168: Strings not allowed in JSX files: "DAY" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:588:145: Strings not allowed in JSX files: "PLATFORMS:" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:614:150: Strings not allowed in JSX files: "SCHEDULED" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:655:104: Strings not allowed in JSX files: "Your Brand Strategy Starts Here" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:658:125: Strings not allowed in JSX files: "Let AI analyze your brand DNA and market trends to generate a high-performing 30-day content calendar tailored to your specific industry." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/seasonal-events/page.tsx:216:68: Strings not allowed in JSX files: "Seasonal Events" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/seasonal-events/page.tsx:219:62: Strings not allowed in JSX files: "Manage your brand&apos;s seasonal events and holiday marketing schedule." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/seasonal-events/page.tsx:228:10: Strings not allowed in JSX files: "Add Event" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/seasonal-events/page.tsx:299:57: Strings not allowed in JSX files: "Cancel" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/studio/captions/page.tsx:23:18: Strings not allowed in JSX files: "Back to Studio" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/studio/carousels/page.tsx:23:18: Strings not allowed in JSX files: "Back to Studio" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/studio/hashtags/page.tsx:23:18: Strings not allowed in JSX files: "Back to Studio" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/studio/ideas/page.tsx:23:18: Strings not allowed in JSX files: "Back to Studio" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/studio/images/page.tsx:23:18: Strings not allowed in JSX files: "Back to Studio" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/studio/planner/page.tsx:23:18: Strings not allowed in JSX files: "Back to Studio" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/studio/scripts/page.tsx:23:18: Strings not allowed in JSX files: "Back to Studio" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/studio/smart-create/page.tsx:41:18: Strings not allowed in JSX files: "Back to Studio" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/studio/smart-create/page.tsx:45:42: Strings not allowed in JSX files: "Loading..." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(blank-layout-pages)/seo-analyzer/page.tsx:191:65: Strings not allowed in JSX files: "Analyzing" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(blank-layout-pages)/seo-analyzer/page.tsx:191:80: Strings not allowed in JSX files: "..." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(blank-layout-pages)/seo-analyzer/page.tsx:193:83: Strings not allowed in JSX files: "Checking meta tags, performance, security, and content quality..." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(blank-layout-pages)/seo-analyzer/page.tsx:223:62: Strings not allowed in JSX files: "Overall Health Score" [Error/react/jsx-no-literals]
